,"Instructions
Enter stock symbol in cell B4",,,,,POWERED BY
,,,,,,Google Finance
,,,,,,
,mara,<< enter a symbol,,,,
,,"<< optionally, enter an exchange (ex: NASDAQ, NYSE)",,,,
,,,,,,
,Marathon Digital Holdings Inc,,,,,
,,,,,,
,Current Price,,Change,% Change,,
,8.87,,+1.02,+12.99%,,
,,,,,,
,,,,,,
,Market Cap,P/E Ratio,Beta,,,
,"1,036M",-,5.07,,,
,,,,,,70 Months
,,,,,,
,,,,,,
,mara,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Date,Open,High,Low,Close,Volume
,"May 22, 2017",4.72,4.72,2.60,2.88,"2,729,375"
,"May 23, 2017",3.36,4.48,3.04,3.84,"1,972,946"
,"May 24, 2017",4.03,6.05,4.03,4.50,"5,468,625"
,"May 25, 2017",4.98,5.59,3.92,4.06,"3,031,141"
,"May 26, 2017",4.20,4.32,3.43,3.98,"940,636"
,"May 30, 2017",3.68,3.97,3.49,3.97,"440,407"
,"May 31, 2017",3.68,3.97,3.02,3.62,"535,799"
,"Jun 1, 2017",3.28,3.81,3.28,3.52,"323,091"
,"Jun 2, 2017",3.45,4.88,3.45,4.32,"2,519,597"
,"Jun 5, 2017",4.32,4.32,3.45,3.52,"1,880,468"
,"Jun 6, 2017",3.68,4.14,3.36,3.73,"2,154,338"
,"Jun 7, 2017",3.84,3.84,3.38,3.60,"983,523"
,"Jun 8, 2017",3.60,3.60,3.23,3.36,"839,267"
,"Jun 9, 2017",3.44,3.47,3.07,3.20,"922,289"
,"Jun 12, 2017",2.88,3.20,2.73,3.12,"1,119,786"
,"Jun 13, 2017",3.12,3.18,2.90,3.12,"304,066"
,"Jun 14, 2017",2.96,3.36,2.72,2.88,"1,534,256"
,"Jun 15, 2017",2.85,2.88,2.56,2.56,"1,257,543"
,"Jun 16, 2017",2.67,2.67,2.40,2.60,"1,015,745"
,"Jun 19, 2017",2.50,2.72,2.32,2.56,"1,046,384"
,"Jun 20, 2017",2.56,2.56,2.00,2.46,"1,816,474"
,"Jun 21, 2017",2.51,5.42,2.25,4.86,"14,836,763"
,"Jun 22, 2017",4.48,5.90,3.52,3.52,"15,248,793"
,"Jun 23, 2017",3.94,7.68,3.84,5.36,"34,145,038"
,"Jun 26, 2017",6.72,8.82,5.95,8.14,"32,945,828"
,"Jun 27, 2017",8.11,8.13,6.72,7.36,"7,608,424"
,"Jun 28, 2017",6.40,7.04,5.77,6.10,"5,286,457"
,"Jun 29, 2017",6.41,8.32,5.13,6.56,"9,703,807"
,"Jun 30, 2017",6.24,6.56,5.76,6.05,"3,490,607"
,"Jul 3, 2017",6.08,6.11,5.76,5.92,"1,261,866"
,"Jul 5, 2017",5.81,5.92,5.28,5.38,"1,782,066"
,"Jul 6, 2017",5.60,7.52,5.38,6.56,"10,566,168"
,"Jul 7, 2017",7.04,7.04,5.70,5.84,"3,708,186"
,"Jul 10, 2017",6.08,6.26,5.76,6.08,"1,351,134"
,"Jul 11, 2017",6.16,6.16,5.60,5.92,"1,586,368"
,"Jul 12, 2017",5.92,6.08,5.44,5.60,"1,387,692"
,"Jul 13, 2017",5.71,5.71,4.80,5.30,"2,461,766"
,"Jul 14, 2017",5.45,5.45,4.80,5.04,"1,189,647"
,"Jul 17, 2017",5.12,5.15,4.67,4.80,"1,162,926"
,"Jul 18, 2017",4.88,4.96,4.58,4.64,"977,434"
,"Jul 19, 2017",5.12,5.12,4.48,4.85,"648,552"
,"Jul 20, 2017",4.80,4.80,4.52,4.56,"700,984"
,"Jul 21, 2017",4.79,4.79,4.16,4.17,"1,778,155"
,"Jul 24, 2017",4.22,4.32,4.00,4.16,"737,820"
,"Jul 25, 2017",4.32,5.12,4.00,4.80,"2,981,295"
,"Jul 26, 2017",4.65,5.44,4.16,4.32,"2,763,045"
,"Jul 27, 2017",4.32,4.78,4.00,4.19,"1,138,221"
,"Jul 28, 2017",4.32,4.48,4.08,4.15,"483,501"
,"Jul 31, 2017",4.32,5.12,4.32,4.96,"3,086,314"
,"Aug 1, 2017",5.12,5.12,4.48,4.56,"1,121,403"
,"Aug 2, 2017",4.48,4.70,4.11,4.14,"1,083,632"
,"Aug 3, 2017",4.48,4.80,4.16,4.40,"894,596"
,"Aug 4, 2017",4.24,4.48,4.24,4.31,"309,876"
,"Aug 7, 2017",4.24,4.45,4.16,4.29,"305,944"
,"Aug 8, 2017",4.39,4.64,4.22,4.35,"674,917"
,"Aug 9, 2017",4.40,4.59,4.21,4.32,"615,934"
,"Aug 10, 2017",3.84,4.19,3.52,4.04,"1,356,475"
,"Aug 11, 2017",3.87,4.16,3.68,4.00,"290,294"
,"Aug 14, 2017",4.08,4.54,3.88,4.47,"899,295"
,"Aug 15, 2017",4.48,4.48,3.86,4.21,"1,277,509"
,"Aug 16, 2017",4.16,4.31,3.92,4.13,"923,245"
,"Aug 17, 2017",4.16,4.39,4.00,4.14,"823,326"
,"Aug 18, 2017",4.24,5.11,4.06,4.88,"3,030,815"
,"Aug 21, 2017",4.80,4.80,4.21,4.61,"1,037,312"
,"Aug 22, 2017",4.61,4.64,4.24,4.24,"560,786"
,"Aug 23, 2017",4.45,4.64,4.24,4.29,"656,382"
,"Aug 24, 2017",4.32,4.96,4.32,4.43,"1,682,187"
,"Aug 25, 2017",4.65,4.79,4.48,4.64,"456,637"
,"Aug 28, 2017",4.53,5.72,4.41,5.21,"2,794,041"
,"Aug 29, 2017",5.28,6.70,5.28,6.11,"6,047,416"
