,"Instructions
Enter stock symbol in cell B4",
,,
,,
,mstr,
,,
,,
,MicroStrategy Inc,
,,
,Current Price,
,273.38,
,,
,,
,Market Cap,
,"3,157M",
,,
,,
,,
,mstr,
,,
,,
,,
,,
,,
,,
,,
,,
,Date,Close
,"Jan 2, 2018",131.8
,"Jan 3, 2018",132.38
,"Jan 4, 2018",135.06
,"Jan 5, 2018",135.01
,"Jan 8, 2018",136.61
,"Jan 9, 2018",136.25
,"Jan 10, 2018",136.62
,"Jan 11, 2018",138.36
,"Jan 12, 2018",139.75
,"Jan 16, 2018",138.31
,"Jan 17, 2018",139.6
,"Jan 18, 2018",138.85
,"Jan 19, 2018",140.98
,"Jan 22, 2018",139.22
,"Jan 23, 2018",139.1
,"Jan 24, 2018",138.29
,"Jan 25, 2018",137.33
,"Jan 26, 2018",137.79
,"Jan 29, 2018",137.95
,"Jan 30, 2018",138.38
,"Jan 31, 2018",137.73
,"Feb 1, 2018",139.14
,"Feb 2, 2018",135.77
,"Feb 5, 2018",131.59
,"Feb 6, 2018",133
,"Feb 7, 2018",133.52
,"Feb 8, 2018",131.53
,"Feb 9, 2018",130.62
,"Feb 12, 2018",132.87
,"Feb 13, 2018",134.51
,"Feb 14, 2018",135.83
,"Feb 15, 2018",137.85
,"Feb 16, 2018",137.55
,"Feb 20, 2018",137.99
,"Feb 21, 2018",136.77
,"Feb 22, 2018",137.37
,"Feb 23, 2018",137.98
,"Feb 26, 2018",137.69
,"Feb 27, 2018",135.16
,"Feb 28, 2018",127.98
,"Mar 1, 2018",123.87
,"Mar 2, 2018",125.43
,"Mar 5, 2018",134.14
,"Mar 6, 2018",133.2
,"Mar 7, 2018",133.25
,"Mar 8, 2018",134.21
,"Mar 9, 2018",136.27
,"Mar 12, 2018",136.07
,"Mar 13, 2018",135.04
,"Mar 14, 2018",133.43
,"Mar 15, 2018",133.37
,"Mar 16, 2018",131.76
,"Mar 19, 2018",130.85
,"Mar 20, 2018",130.71
,"Mar 21, 2018",130.73
,"Mar 22, 2018",130.86
,"Mar 23, 2018",129.77
,"Mar 26, 2018",130.7
,"Mar 27, 2018",128.42
,"Mar 28, 2018",127.7
,"Mar 29, 2018",128.99
,"Apr 2, 2018",125.54
,"Apr 3, 2018",126.82
,"Apr 4, 2018",126.8
,"Apr 5, 2018",127.58
,"Apr 6, 2018",125.87
,"Apr 9, 2018",125.44
,"Apr 10, 2018",127.51
,"Apr 11, 2018",128.7
,"Apr 12, 2018",129.52
,"Apr 13, 2018",130.18
,"Apr 16, 2018",132.36
,"Apr 17, 2018",134.63
,"Apr 18, 2018",134.82
,"Apr 19, 2018",134.24
,"Apr 20, 2018",131.55
,"Apr 23, 2018",131.52
,"Apr 24, 2018",130.34
,"Apr 25, 2018",131.58
,"Apr 26, 2018",132.29
,"Apr 27, 2018",126.69
,"Apr 30, 2018",127.46
,"May 1, 2018",130.82
,"May 2, 2018",130.31
,"May 3, 2018",129.12
,"May 4, 2018",130.2
,"May 7, 2018",129.93
,"May 8, 2018",131.04
,"May 9, 2018",130.6
,"May 10, 2018",130.18
,"May 11, 2018",129.28
,"May 14, 2018",127.13
,"May 15, 2018",127.46
