,"Instructions
Enter stock symbol in cell B4",,,,,POWERED BY
,,,,,,Google Finance
,,,,,,
,nio,<< enter a symbol,,,,
,,"<< optionally, enter an exchange (ex: NASDAQ, NYSE)",,,,
,,,,,,
,Nio Inc - ADR,,,,,
,,,,,,
,Current Price,,Change,% Change,,
,9.27,,+0.53,+6.06%,,
,,,,,,
,,,,,,
,Market Cap,P/E Ratio,Beta,,,
,"107,228M",-,1.93,,,
,,,,,,70 Months
,,,,,,
,,,,,,
,nio,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Date,Open,High,Low,Close,Volume
,"Sep 12, 2018",6.00,6.93,5.35,6.60,"66,848,996"
,"Sep 13, 2018",6.62,12.69,6.52,11.60,"158,346,488"
,"Sep 14, 2018",12.66,13.80,9.22,9.90,"172,473,559"
,"Sep 17, 2018",9.61,9.75,8.50,8.50,"56,323,875"
,"Sep 18, 2018",8.73,9.10,7.67,7.68,"41,827,593"
,"Sep 19, 2018",7.88,9.15,7.54,8.50,"48,306,520"
,"Sep 20, 2018",9.07,9.47,8.42,8.78,"40,275,036"
,"Sep 21, 2018",9.05,9.07,8.50,8.59,"15,118,471"
,"Sep 24, 2018",8.32,8.39,7.85,7.87,"16,297,902"
,"Sep 25, 2018",8.06,8.19,7.50,7.58,"18,909,287"
,"Sep 26, 2018",7.59,7.76,7.50,7.50,"11,088,293"
,"Sep 27, 2018",7.55,7.55,7.01,7.01,"16,815,631"
,"Sep 28, 2018",6.97,7.28,6.68,6.98,"21,813,582"
,"Oct 1, 2018",7.06,7.08,6.60,6.60,"16,429,120"
,"Oct 2, 2018",6.60,6.60,5.87,5.93,"19,439,988"
,"Oct 3, 2018",6.12,6.55,6.12,6.30,"13,251,168"
,"Oct 4, 2018",6.19,6.25,6.00,6.25,"11,896,599"
,"Oct 5, 2018",6.20,6.29,6.03,6.26,"8,378,259"
,"Oct 8, 2018",6.07,6.18,5.95,6.04,"11,508,763"
,"Oct 9, 2018",6.19,7.40,6.10,7.39,"38,464,354"
,"Oct 10, 2018",8.10,8.35,7.39,7.75,"74,971,137"
,"Oct 11, 2018",7.44,7.55,6.92,7.18,"22,730,045"
,"Oct 12, 2018",7.46,7.75,7.28,7.46,"14,545,424"
,"Oct 15, 2018",7.86,8.30,7.70,7.82,"26,781,651"
,"Oct 16, 2018",8.06,8.20,7.83,8.04,"17,490,452"
,"Oct 17, 2018",8.12,8.16,7.73,7.77,"11,705,259"
,"Oct 18, 2018",7.60,7.67,7.26,7.50,"11,905,956"
,"Oct 19, 2018",7.59,7.75,7.22,7.32,"7,336,209"
,"Oct 22, 2018",7.68,7.69,7.00,7.03,"12,758,537"
,"Oct 23, 2018",6.74,6.89,6.45,6.81,"14,901,741"
,"Oct 24, 2018",6.85,6.85,6.13,6.17,"14,789,857"
,"Oct 25, 2018",6.27,6.57,6.25,6.45,"9,188,691"
,"Oct 26, 2018",6.21,6.51,6.18,6.35,"9,458,953"
,"Oct 29, 2018",6.53,6.79,6.05,6.19,"16,027,640"
,"Oct 30, 2018",6.20,6.22,5.62,5.95,"21,823,905"
,"Oct 31, 2018",6.08,6.25,5.90,5.90,"15,213,393"
,"Nov 1, 2018",6.00,6.78,5.96,6.62,"24,330,932"
,"Nov 2, 2018",6.84,6.84,6.27,6.49,"17,988,834"
,"Nov 5, 2018",6.52,6.72,6.25,6.68,"13,188,661"
,"Nov 6, 2018",7.22,7.32,6.40,6.40,"49,855,770"
,"Nov 7, 2018",6.42,6.88,6.15,6.74,"23,761,772"
,"Nov 8, 2018",6.49,7.10,6.47,6.69,"20,510,714"
,"Nov 9, 2018",6.59,6.93,6.52,6.77,"12,789,789"
,"Nov 12, 2018",6.72,6.93,6.56,6.65,"12,709,127"
,"Nov 13, 2018",6.69,6.90,6.58,6.78,"15,374,076"
,"Nov 14, 2018",6.80,7.45,6.80,7.10,"29,585,149"
,"Nov 15, 2018",7.15,7.49,7.11,7.34,"18,036,362"
,"Nov 16, 2018",7.40,7.65,7.16,7.19,"14,972,458"
,"Nov 19, 2018",7.38,8.21,7.28,7.84,"49,171,758"
,"Nov 20, 2018",7.65,7.91,7.15,7.67,"26,923,192"
,"Nov 21, 2018",7.90,8.05,7.63,7.71,"13,993,640"
,"Nov 23, 2018",7.68,7.70,7.41,7.46,"8,119,651"
,"Nov 26, 2018",7.61,7.63,7.16,7.37,"12,164,902"
,"Nov 27, 2018",7.30,7.70,7.23,7.48,"9,084,856"
,"Nov 28, 2018",7.60,8.15,7.60,8.12,"22,096,929"
,"Nov 29, 2018",8.06,8.12,7.76,7.79,"13,207,636"
,"Nov 30, 2018",7.80,8.00,7.68,7.71,"10,994,730"
,"Dec 3, 2018",8.10,8.13,7.50,7.58,"22,336,440"
,"Dec 4, 2018",7.60,7.64,7.05,7.08,"19,624,735"
,"Dec 6, 2018",6.86,7.37,6.72,7.37,"16,688,145"
,"Dec 7, 2018",7.36,7.38,6.96,6.99,"11,576,166"
,"Dec 10, 2018",7.03,7.12,6.74,7.03,"9,980,958"
,"Dec 11, 2018",7.08,7.20,6.92,7.08,"8,095,733"
,"Dec 12, 2018",7.20,7.55,7.12,7.54,"16,007,523"
,"Dec 13, 2018",7.55,7.90,7.26,7.75,"14,980,941"
,"Dec 14, 2018",7.53,7.89,7.40,7.70,"10,773,624"
,"Dec 17, 2018",7.63,7.64,6.96,7.03,"18,132,776"
,"Dec 18, 2018",7.03,7.19,6.84,7.07,"10,685,752"
